price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
4321200,2 BHK Apartment ,"1,108 sq ft",,"₹ 3,900/ sq ft ",,,,Wagholi,Icon Properties Icon Imperio,,,2,Gr,,,New,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens"
8800000,2 BHK Apartment ,842 sq ft,624 sq ft,"₹ 10,451/ sq ft ",,"Ready to move,Unfurnished",,Hanuman Nagar,,0 - 1 year,,2,"8, ",1,9,Resale,1,East,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Landscaped Gardens,School,Hospital,ATM","Club House,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
3220000,2 BHK Apartment ,920 sq ft,,"₹ 3,500/ sq ft ",,,,Wagholi,Swati Construction Morning Mist,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
3132500,2 BHK Apartment ,895 sq ft,,"₹ 3,500/ sq ft ",,,,Wagholi,Swati Construction Morning Mist,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
114000000,5 BHK Apartment ,"6,000 sq ft",,"₹ 19,000/ sq ft ",,,,Sangamvadi,Marvel Realtors Marvel Ribera,,,5,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens"
150575000,5 BHK Apartment ,"7,925 sq ft",,"₹ 19,000/ sq ft ",,,,Sangamvadi,Marvel Realtors Marvel Ribera,,,5,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens"
9550000,3 BHK Apartment ,"1,414 sq ft",,"₹ 6,753/ sq ft ",,"Ready to move,Unfurnished",,Pimple Saudagar,Siddhivinayak Prime Plus Phase 2,3 - 4 years,,3,"2, ",3,7,Resale,2,North,Corner,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
9720000,3 BHK Apartment ,"1,620 sq ft",,"₹ 6,000/ sq ft ",,,,Viman Nagar,Sudhir Mandke and Company Mandke Armaan,,,3,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
3092050,2 BHK Apartment ,871 sq ft,,"₹ 3,550/ sq ft ",,,,Wagholi,Majestique City,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
3166600,2 BHK Apartment ,892 sq ft,,"₹ 3,550/ sq ft ",,,,Wagholi,Majestique City,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
2994600,2 BHK Apartment ,868 sq ft,,"₹ 3,450/ sq ft ",,,,Wagholi,Majestique City,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
2984250,2 BHK Apartment ,865 sq ft,,"₹ 3,450/ sq ft ",,,,Wagholi,Majestique City,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
3029100,2 BHK Apartment ,878 sq ft,,"₹ 3,450/ sq ft ",,,,Wagholi,Majestique City,,,2,,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens"
90000000,5 BHK Apartment ,"4,300 sq ft",,"₹ 20,930/ sq ft ",,Furnished,,Koregaon Park,,,,4,1,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens"
40000000,3 BHK Apartment ,"2,500 sq ft",,"₹ 16,000/ sq ft ",,Furnished,,Koregaon Park,,,,3,5,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens"
10200000,2 BHK Apartment ,"1,200 sq ft",,"₹ 8,500/ sq ft ",,Unfurnished,,Kalyani Nagar,,,,2,2,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting","Children's play area,Swimming Pool,Sports Facility,Landscaped Gardens"
12500000,3 BHK Apartment ,"2,300 sq ft",,"₹ 5,435/ sq ft ",,Unfurnished,,Viman Nagar,,,,3,6,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
32500000,5 BHK Apartment ,"3,522 sq ft",,"₹ 9,227/ sq ft ",,Furnished,,Koregaon Park,Darode Jog Blossom Bouleward,,,5,,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
11000000,2 BHK Apartment ,"1,250 sq ft",,"₹ 8,800/ sq ft ",,Semi-Furnished,,Kalyani Nagar,Raviraj Realty Fortaleza,,,2,9,,,Resale,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens"
