price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
3800000,1 BHK Apartment ,572 sq ft,500 sq ft,"₹ 6,643/ sq ft ",,"Ready to move,Unfurnished",,Dhayari,,,,1,"9, ",1,11,Resale,1,East,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track"
7300000,3 BHK Apartment ,"1,400 sq ft",,"₹ 5,214/ sq ft ",,"Ready to move,Unfurnished",,Dhayari,Nanded Lalit,2 - 3 years,,,,,,Resale,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track"
410000, Residential Plot ,"1,600 sq ft",,₹ 256/ sq ft ,,,,Hadapsar,,,50 feet,,,,,New,2,East,"Garden View, Pool View, Road View",Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
850000, Residential Plot ,"1,000 sq ft",,₹ 850/ sq ft ,,,,Hadapsar,,,25 feet,,,,,New,1,East,Road View,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
3400000,1 BHK Apartment ,575 sq ft,,"₹ 5,913/ sq ft ",,"Ready to move,Unfurnished",,Wanowrie,,8 - 9 years,,,,,,Resale,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens"
35000000,4 BHK Apartment ,"2,440 sq ft",,"₹ 14,344/ sq ft ",,"Ready to move,Unfurnished",,Law collage Road,,1 - 2 years,,4,,3,,Resale,,,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
33000000,3 BHK Apartment ,"1,950 sq ft",,"₹ 16,923/ sq ft ",,"Ready to move,Unfurnished",,Bhandarkar Road,Builder Project,1 - 2 years,,3,,2,,Resale,,,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
51900000,4 BHK Apartment ,"3,200 sq ft",,"₹ 16,218/ sq ft ",,"Ready to move,Unfurnished",,Law collage Road,,1 - 2 years,,3,,3,,Resale,,,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
5600000,2 BHK Apartment ,980 sq ft,711 sq ft,"₹ 5,714/ sq ft ",,Ready to move,,Bavdhan,Dreams Raka Associates Dreams Belle Vue D Wing,,11 feet,2,6,2,,New,2,East,"Corner, Garden View, Road View",Freehold,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track"
5800000,2 BHK Apartment ,938 sq ft,810 sq ft,"₹ 6,183/ sq ft ",,"Ready to move,Unfurnished",,Dhayari,Nanded Madhuvanti,1 - 2 years,,2,,1,11,Resale,,,"Pool View, Garden View",,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Indoor Games,Jogging Track,Landscaped Gardens","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
10100000,3 BHK Apartment ,"1,400 sq ft",,"₹ 7,214/ sq ft ",,"Ready to move,Unfurnished",,Dhayari,Nanded Shubh Kalyan,3 - 4 years,,2,,2,,Resale,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track"
,,,,,,,,,,,,,,,,,,,,,,
7900000,2 BHK Apartment ,"1,150 sq ft",,"₹ 6,869/ sq ft ",,"Ready to move,Unfurnished",,Kalyani Nagar,BramhaCorp Bramha Sun City Phase 2,7 - 8 years,,2,"2, ",2,9,Resale,,East,Road View,Co-Operative Society,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Shopping Mall,Gas connection","Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED"
5700000,2 BHK Apartment ,"1,125 sq ft",,"₹ 5,066/ sq ft ",,Ready to move,,Undri,Venkatesh Bliss,2 - 3 years,180 feet,2,"2, ",2,11,New,2,NorthEast,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,Wardrobe,Wifi,Gas connection","Sports Facility,AC,TV,Refrigerator,Sofa,Dining Table,BED"
4100000,2 BHK Independent Floor ,"1,020 sq ft",780 sq ft,"₹ 4,019/ sq ft ",,"Ready to move,Semi-Furnished",,Undri,Builder Whispering Hills,4 - 5 years,65 feet,2,"2, ",1,4,Resale,1,East,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Swimming Pool,Jogging Track,AC,Wardrobe,Wifi,BED","Children's play area,Gymnasium,Sports Facility,Landscaped Gardens,TV,Refrigerator,Sofa,Dining Table,Gas connection"
3500000,2 BHK Apartment ,904 sq ft,665 sq ft,"₹ 3,871/ sq ft ",,Ready to move,,Talegaon Dabhade,Manav Silver Valley,1 - 2 years,40 feet,2,"5, ",1,7,New,3,East,"Road View, Garden View",Freehold,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wardrobe","Lift Available,Club House,Swimming Pool,Sports Facility,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
4300000,2 BHK Apartment ,"1,020 sq ft",750 sq ft,"₹ 4,215/ sq ft ",,"Ready to move,Unfurnished",,Undri,Goel Avishkar Ganga Elika,3 - 4 years,45 feet,2,"5, ",1,8,Resale,1,,Road View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,AC,Wifi,Gas connection","Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED"
9800000,3 BHK Apartment ,"1,350 sq ft",1000 sq ft,"₹ 7,259/ sq ft ","3 rooms( study room, servant room, pooja room )","Ready to move,Unfurnished",,Pimple Saudagar,GK Roseland Residency,8 - 9 years,15 feet,3,"5, ",2,7,Resale,2,East,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED"
7500000,2 BHK Apartment ,"1,010 sq ft",780 sq ft,"₹ 7,425/ sq ft ","3 rooms( study room, servant room, pooja room )","Ready to move,Unfurnished",,Pimple Saudagar,GK Roseland Residency,8 - 9 years,15 feet,2,"5, ",1,7,Resale,2,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
3500000,1 BHK Apartment ,745 sq ft,,"₹ 4,697/ sq ft ",,"Ready to move,Unfurnished",,Wagholi,Venkatesh Primo,1 - 2 years,20 feet,1,"3, ",,12,Resale,1,East,Road View,Freehold,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Jogging Track,Intercom,Landscaped Gardens","Lift Available,Swimming Pool,Sports Facility"
3250000,2 BHK Apartment ,970 sq ft,680 sq ft,"₹ 3,350/ sq ft ",,Under Construction,Mar 2018,Talegaon,Renaisance Enterprises Tree Mount,,,,,1,,New,,,"Pool View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility,Jogging Track"
6999977,2 BHK Apartment ,"1,049 sq ft",,"₹ 6,673/ sq ft ",,"Ready to move,Unfurnished",,Baner,KBD Palladion,3 - 4 years,,,"8, ",,12,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",
6999977,2 BHK Apartment ,"1,049 sq ft",,"₹ 6,673/ sq ft ",,"Ready to move,Unfurnished",,Baner,KBD Palladion,3 - 4 years,,,"8, ",,12,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",
5800000,1 BHK Apartment ,550 sq ft,,"₹ 10,545/ sq ft ",,"Ready to move,Unfurnished",,Gultekdi,Meera Meera Housing Society,35 - 36 years,,1,Gr ,,3,Resale,,,,,"24 X 7 Security,Children's play area,Vaastu Compliant,Maintenance Staff,Cafeteria,Shopping Mall,School,Hospital,ATM","Lift Available,Power Backup,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
2850000,1 BHK Apartment ,655 sq ft,,"₹ 4,351/ sq ft ",,"Ready to move,Unfurnished",,Wagholi,Venkatesh Oxy Valley Phase 1,3 - 4 years,30 feet,1,"3, ",,9,Resale,1,West,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,School,ATM",Sports Facility
7952000,3 BHK Apartment ,"1,370 sq ft",,"₹ 5,804/ sq ft ",,Under Construction,,Keshav Nagar,,,,3,"25, ",2,28,New,,East,Road View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Wardrobe","Swimming Pool,Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
6663000,2 BHK Apartment ,"1,071 sq ft",,"₹ 6,221/ sq ft ",,Under Construction,,Keshav Nagar,,,,2,"18, ",1,28,New,,East,Road View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Shopping Mall,Wardrobe","Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
7629000,2 BHK Apartment ,"1,108 sq ft",,"₹ 6,885/ sq ft ",,Under Construction,,Keshav Nagar,,,,2,"18, ",2,28,New,,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Shopping Mall,Wardrobe","Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
